source_zip,file_path_in_zip,suggested_product_slug_or_category,confidence,action,notes
boya-...zip,Ibanez ICLS6HT_52_01_A_en_1.png,guitars-ibanez-classical,medium,convert_webp+bg_remove,Ibanez classical guitar - match by SKU code to existing product
boya-...zip,Ibanez ICLS6NT_52_01_A_en_1.png,guitars-ibanez-classical,medium,convert_webp+bg_remove,Variant finish of above
boya-...zip,Ibanez_IEGS61_52_01_A_en_1.png,guitars-ibanez-electric,medium,convert_webp+bg_remove,Match by Ibanez SKU prefix
boya-...zip,Ibanez_IEGS62_52_01_A_en_1.png,guitars-ibanez-electric,medium,convert_webp+bg_remove,Variant of above
boya-...zip,Ibanez_IEGS6_52_01_A_en_1.png,guitars-ibanez-electric,medium,convert_webp+bg_remove,Base model
boya-...zip,cort-grs-ga1e-opsb-acoustic-guitar-gal-2.jpg,guitars-cort-acoustic,high,convert_webp+bg_remove,Filename clearly Cort acoustic
boya-...zip,cort-standard-ad810-ssb-acoustic-guitar-gal-1.jpg,guitars-cort-acoustic,high,convert_webp+bg_remove,Filename clearly Cort acoustic
boya-...zip,Cort-CM150B-150-Watt-Bass-Guitar-Amplifier.jpg,accessories-amplifiers,high,convert_webp+bg_remove,Bass amp - Accessories/Pro Audio
boya-...zip,Cort-CM150B-150-Watt-Bass-Guitar-Amplifier-hero-1.jpg,accessories-amplifiers,high,convert_webp+bg_remove,Alt angle of above
boya-...zip,GCVIOLIN44-1.png,violins-strings,high,convert_webp+bg_remove,Generic 4/4 violin - match to violin product
boya-...zip,GCVIOLIN44-2.png,violins-strings,high,convert_webp+bg_remove,Alt angle of above
kawai-...zip,Mason Violin.webp,violins-strings,high,bg_remove_if_needed,Already webp - just verify bg and rename
kawai-...zip,AL-2044-Violin_.webp,violins-strings,high,bg_remove_if_needed,Already webp violin product image
kawai-...zip,44-449154_model-artisan-student-violin-outfit-amatis-100-violin.png,violins-strings,medium,convert_webp+bg_remove,Generic stock violin (PNGCDN style) - verify rights before use
kawai-...zip,311-3117940_acoustic-piano-kawai-grand-piano-gx2.png,keyboards-pianos-kawai-grand,medium,convert_webp+bg_remove,Stock image - verify against actual stocked Kawai model
kawai-...zip,2019_UICT10_BK_2Y_01.webp,keyboards-pianos,medium,bg_remove_if_needed,Digital piano - model code UICT10, match to product
kawai-...zip,2022_UICT10_CA_2Y_05.webp,keyboards-pianos,medium,bg_remove_if_needed,Color variant of UICT10
kawai-...zip,2022_UICT10_MGS_2Y_05.webp,keyboards-pianos,medium,bg_remove_if_needed,Color variant of UICT10
kawai-...zip,2022_UICT10_MM_2Y_05.webp,keyboards-pianos,medium,bg_remove_if_needed,Color variant of UICT10
kawai-...zip,Hammer88Pro_Angle-Right_Transparent.png,keyboards-pianos,high,convert_webp,Already transparent bg - just convert format
boya-...zip,Korg-EK-50-back.png,keyboards-pianos-korg,high,convert_webp+bg_remove,Korg EK-50 keyboard
boya-...zip,Korg-EK-50-back-close.png,keyboards-pianos-korg,high,convert_webp+bg_remove,Close-up variant
boya-...zip,Keysation49.png,keyboards-pianos-midi,high,convert_webp+bg_remove,M-Audio Keystation 49 MIDI keyboard
boya-...zip,Medeli GP510.jpg,keyboards-pianos-medeli,high,convert_webp+bg_remove,Medeli GP510 digital piano
kawai-...zip,Alesis_Concert_88-Key-Digital-Piano-scaled.jpg,keyboards-pianos-alesis,high,convert_webp+bg_remove,Alesis Concert digital piano
kawai-...zip,Alesis_Concert_Digital-Piano-with-music-rest-scaled.jpg,keyboards-pianos-alesis,high,convert_webp+bg_remove,With music rest accessory
ninja-...zip,TD-17KV2KIT-1.png,drums-roland-td17,high,convert_webp+bg_remove,Roland TD-17KV2 electronic drum kit
kawai-...zip,TD-17KV2KIT-2.png,drums-roland-td17,high,convert_webp+bg_remove,Alt angle of above
boya-...zip,Vicfirth.png,drums-accessories-sticks,high,convert_webp+bg_remove,Vic Firth drumsticks - accessories
boya-...zip,Sticks.png,drums-accessories-sticks,medium,convert_webp+bg_remove,Generic sticks - verify brand
ninja-...zip,Stagg Sticks.jpg,drums-accessories-sticks,high,convert_webp+bg_remove,Stagg drumsticks
ninja-...zip,Stagg Sticks 2.jpg,drums-accessories-sticks,high,convert_webp+bg_remove,Alt angle
boya-...zip,Stagg Sticks 1.jpg,drums-accessories-sticks,high,convert_webp+bg_remove,Alt angle
ninja-...zip,Yamaha Custom Birch Kit.jpg,drums-yamaha-acoustic,high,convert_webp+bg_remove,Yamaha acoustic drum kit
boya-...zip,Remo Coloured Skins.png,drums-accessories-heads,high,convert_webp+bg_remove,Remo drum heads
boya-...zip,Remo Green Skins.png,drums-accessories-heads,high,convert_webp+bg_remove,Remo drum heads variant
ninja-...zip,Sonata-Student-Clarinet-Bb-Clarinet-with-Case.jpg,wind-instruments-clarinet,high,convert_webp+bg_remove,Sonata Bb Clarinet
ninja-...zip,Sonata-Student-Clarinet-Bb-Clarinet-with-Case-2.jpg,wind-instruments-clarinet,high,convert_webp+bg_remove,Alt angle
kawai-...zip,458-4588914_yanagisawa-wo-1-e-flat-alto-saxophone.png,wind-instruments-saxophone,medium,convert_webp+bg_remove,Yanagisawa alto sax - verify stock match
boya-...zip,Sonata Flute Silver.jpg,wind-instruments-flute,high,convert_webp+bg_remove,Sonata silver flute
ninja-...zip,Tuba 4 valve.jpeg,wind-instruments-tuba,high,convert_webp+bg_remove,4-valve tuba
kawai-...zip,Alto Saxophone strap.jpg,accessories-wind,high,convert_webp+bg_remove,Sax strap accessory
boya-...zip,Rode-Lavalier-GO-Professional-grade-Wearable-Microphone.jpg,pro-audio-rode-mics,high,convert_webp+bg_remove,Rode Lavalier GO mic
boya-...zip,rode-nt1-black-back.jpg,pro-audio-rode-mics,high,convert_webp+bg_remove,Rode NT1 black
